Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
62,Female,155,65,Lightly Active,Weight Loss,Omnivore,1800,90,220,60,"Eggs, whole-wheat toast","Chicken salad sandwich, mixed greens","Fish, roasted vegetables","Greek yogurt, fruit"
35,Female,170,75,Very Active,Muscle Gain,Vegetarian,2400,110,320,75,"Quinoa porridge, fruit, nuts","Chickpea, vegetable curry","Black bean burgers, whole-wheat buns","Trail mix, nuts, seeds"
22,Male,190,80,Moderately Active,Weight Loss,Vegan,2100,100,270,65,"Tofu scramble, vegetables, whole-wheat toast","Black bean burgers, sweet potato fries","Vegan stir-fry, brown rice","Fruit salad, nuts"
58,Male,178,100,Sedentary,Maintenance,Omnivore,2400,120,300,75,"Scrambled eggs, bacon, whole-wheat toast",Chicken Caesar salad,"Grilled salmon, roasted vegetables",Mixed nuts
40,Female,168,72,Lightly Active,Muscle Gain,Vegetarian,2000,90,250,65,"Greek yogurt, fruit, granola","Chickpea salad sandwich, whole-wheat bread","Lentil stew, brown rice","Smoothie, protein powder, fruit"
25,Male,180,80,Moderately Active,Muscle Gain,Omnivore,2800,160,350,80,"Oatmeal, protein powder, berries","Chicken breast, brown rice, vegetables","Salmon, sweet potato, broccoli","Greek yogurt, nuts, seeds"
32,Female,165,60,Lightly Active,Weight Loss,Vegetarian,1800,100,220,50,"Tofu scramble, vegetables, whole-wheat toast","Vegetarian chili, a side salad","Lentil soup, whole-wheat bread","Apple, peanut butter"
55,Male,175,90,Sedentary,Maintenance,Omnivore,2200,120,250,60,"Eggs, whole-wheat toast, avocado","Grilled chicken salad, mixed greens","Tuna, quinoa, roasted vegetables","Trail mix, almonds, dried fruit"
28,Female,170,65,Very Active,Muscle Gain,Vegan,2400,140,300,70,"Tofu scramble, vegetables, whole-wheat toast","Black bean burger, sweet potato fries","Lentil stew, brown rice","Banana, almond butter"
62,Female,160,70,Lightly Active,Weight Loss,Omnivore,1600,80,180,40,"Greek yogurt, berries, granola","Grilled salmon, roasted vegetables","Chicken breast, steamed vegetables","Fruit salad, nuts, seeds"
21,Male,190,95,Moderately Active,Muscle Gain,Omnivore,3000,180,400,90,"Pancakes, fruit, syrup","Chicken stir-fry, brown rice","Steak, baked potato, green beans","Protein shake, fruit"
35,Female,168,55,Sedentary,Weight Loss,Vegetarian,1500,80,160,40,"Greek yogurt, berries, granola","Vegetarian chili, a side salad","Lentil soup, whole-wheat bread","Apple, peanut butter"
68,Female,155,65,Lightly Active,Maintenance,Vegetarian,1700,80,190,50,"Scrambled eggs, vegetables, whole-wheat toast","Black bean burger, sweet potato fries","Vegetarian lasagna, salad","Fruit salad, nuts, seeds"
25,Female,165,60,Lightly Active,Weight Loss,Omnivore,1800,100,200,60,"Greek yogurt, berries, granola","Tuna salad sandwich, whole-wheat bread, a side of mixed greens","Salmon, roasted vegetables, quinoa","Apple slices, almond butter"
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,180,300,80,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, quinoa, steamed vegetables","Steak, baked potato, broccoli","Protein shake, banana"
48,Female,170,75,Sedentary,Maintenance,Vegetarian,2000,80,220,70,"Oatmeal, fruit, nuts","Lentil soup, whole-wheat bread","Vegetarian chili, brown rice","Trail mix, dried fruit, nuts"
55,Male,175,90,Moderately Active,Muscle Gain,Vegan,2500,160,280,70,"Tofu scramble, veggies, whole-wheat toast","Lentil, vegetable curry, brown rice","Black bean burgers, sweet potato fries","Banana, almond butter"
62,Female,160,65,Lightly Active,Weight Loss,Vegan,1600,80,180,50,"Overnight oats, fruit, nuts","Vegetable stir-fry, brown rice","Lentil, vegetable stew","Apple slices, peanut butter"
28,Male,190,100,Very Active,Muscle Gain,Omnivore,3200,200,350,90,"Oatmeal, protein powder, fruit","Chicken breast, brown rice, steamed vegetables","Beef stir-fry, brown rice",Protein bar
35,Female,168,55,Sedentary,Weight Loss,Vegetarian,1500,70,170,50,"Greek yogurt, fruit, granola","Black bean burger, whole-wheat bun, salad","Lentil soup, whole-wheat bread","Trail mix, dried fruit, nuts"
42,Male,185,95,Moderately Active,Maintenance,Vegan,2400,150,260,70,"Tofu scramble, veggies, whole-wheat toast","Lentil, vegetable curry, brown rice","Black bean burgers, sweet potato fries","Banana, almond butter"
21,Female,172,58,Lightly Active,Weight Loss,Omnivore,1700,90,190,60,"Eggs, whole-wheat toast, avocado","Chicken salad sandwich, whole-wheat bread, a side of mixed greens","Salmon, roasted vegetables, quinoa","Apple slices, almond butter"
58,Male,178,80,Sedentary,Maintenance,Vegetarian,2100,70,230,70,"Oatmeal, fruit, nuts","Lentil soup, whole-wheat bread","Vegetarian chili, brown rice","Trail mix, dried fruit, nuts"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,"Greek yogurt, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Fruit, nuts"
38,Female,165,65,Sedentary,Maintenance,Vegetarian,1800,80,220,60,"Oatmeal, fruit, nuts","Lentil soup, whole grain bread","Tofu stir-fry, brown rice","Vegetable sticks, hummus"
62,Male,175,90,Lightly Active,Muscle Gain,Omnivore,2500,180,300,80,"Scrambled eggs, whole wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Beef stew, whole grain bread",Protein shake
45,Female,170,75,Very Active,Weight Loss,Vegan,2200,100,280,60,"Tofu scramble, whole wheat toast, avocado","Lentil salad, quinoa, mixed greens","Chickpea curry, brown rice","Fruit, nut mix"
58,Male,178,85,Sedentary,Maintenance,Omnivore,2200,100,270,70,"Yogurt, fruit, granola","Turkey sandwich, whole grain bread","Chicken breast, roasted vegetables",Trail mix
22,Female,160,55,Moderately Active,Muscle Gain,Vegetarian,2000,100,250,60,"Oatmeal, protein powder, fruit","Bean burrito, brown rice","Chickpea, vegetable pasta","Greek yogurt, fruit, nuts"
68,Male,170,70,Lightly Active,Weight Loss,Omnivore,1800,80,220,60,"Scrambled eggs, whole wheat toast, fruit","Tuna salad, whole grain bread","Salmon, steamed vegetables",Mixed nuts
30,Female,168,60,Very Active,Muscle Gain,Vegan,2400,120,300,80,"Tofu scramble, whole wheat toast, avocado","Lentil salad, quinoa, mixed greens","Chickpea curry, brown rice","Fruit, nut mix"
55,Female,165,78,Sedentary,Maintenance,Vegetarian,1900,80,230,60,"Yogurt, fruit, granola","Black bean soup, whole wheat bread","Vegetable stir-fry, brown rice",Trail mix
28,Male,185,100,Moderately Active,Muscle Gain,Omnivore,2800,160,350,100,"Eggs, whole wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Steak, sweet potato, green beans",Protein shake
25,Female,165,60,Lightly Active,Weight Loss,Omnivore,1800,100,200,60,"Greek yogurt, berries, almonds","Grilled chicken salad, mixed greens","Lentil soup, whole-wheat bread","Apple, peanut butter"
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,180,350,80,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, steamed vegetables","Salmon, roasted sweet potatoes",Protein shake
55,Female,160,70,Sedentary,Weight Loss,Vegetarian,1600,80,180,50,"Oatmeal, fruit, nuts","Lentil, vegetable curry, brown rice","Black bean burgers, whole-wheat buns","Hummus, vegetables"
40,Male,190,95,Very Active,Muscle Gain,Vegan,3200,160,400,90,"Tofu scramble, vegetables, whole-wheat toast","Lentil stew, brown rice, quinoa","Chickpea, vegetable curry, brown rice","Trail mix, nuts, dried fruits"
62,Male,175,80,Moderately Active,Maintenance,Omnivore,2400,140,280,70,"Eggs, whole-wheat toast, bacon","Chicken breast, roasted vegetables","Steak, mashed potatoes, green beans","Greek yogurt, berries"
28,Female,170,55,Sedentary,Weight Loss,Vegan,1500,70,160,40,"Overnight oats, fruit, chia seeds","Lentil, vegetable soup, whole-wheat bread","Tofu stir-fry, brown rice, vegetables","Banana, almond butter"
38,Female,168,65,Lightly Active,Maintenance,Vegetarian,2000,90,220,60,"Scrambled tofu, whole-wheat toast, avocado","Black bean burgers, whole-wheat buns, salad","Lentil, vegetable soup, whole-wheat bread","Trail mix, nuts, dried fruits"
58,Male,178,85,Moderately Active,Muscle Gain,Vegan,2800,150,350,80,"Tofu scramble, vegetables, whole-wheat toast","Lentil, vegetable curry, brown rice, quinoa","Chickpea, vegetable curry, brown rice","Trail mix, nuts, dried fruits"
22,Male,185,90,Very Active,Muscle Gain,Omnivore,3000,170,380,80,"Eggs, whole-wheat toast, bacon","Chicken breast, brown rice, steamed vegetables","Steak, mashed potatoes, green beans",Protein shake
45,Female,172,75,Sedentary,Weight Loss,Vegan,1700,80,190,50,"Overnight oats, fruit, chia seeds","Lentil, vegetable soup, whole-wheat bread","Tofu stir-fry, brown rice, vegetables","Banana, almond butter"
28,Female,165,55,Lightly Active,Weight Loss,Omnivore,1800,75,200,50,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Lentil soup, whole wheat bread","Greek yogurt, fruit, granola"
55,Male,180,90,Moderately Active,Maintenance,Vegetarian,2500,90,300,70,"Tofu scramble, vegetables","Lentil, vegetable curry, brown rice","Quinoa salad, roasted vegetables",Trail mix
32,Female,170,60,Very Active,Muscle Gain,Vegan,2400,100,350,60,"Tofu, vegetable stir-fry, brown rice","Black bean burgers, sweet potato fries","Lentil, vegetable stew","Fruit, nut mix"
22,Male,190,85,Sedentary,Weight Loss,Omnivore,2000,80,250,55,"Scrambled eggs, whole wheat toast","Chicken breast, brown rice, steamed vegetables","Salmon, roasted vegetables","Low-fat Greek yogurt, berries"
62,Female,160,70,Moderately Active,Maintenance,Vegan,1800,70,220,50,"Tofu, vegetable scramble, whole wheat toast","Chickpea salad sandwich, whole wheat bread","Lentil, vegetable stew, brown rice","Fruit, nut mix"
25,Male,185,95,Lightly Active,Muscle Gain,Omnivore,2800,120,380,80,"Greek yogurt, fruit, granola","Chicken breast, brown rice, roasted vegetables","Steak, sweet potato, green beans",Protein bar
40,Female,175,75,Very Active,Weight Loss,Vegetarian,2000,80,250,55,"Tofu scramble, vegetables","Black bean burger, whole wheat bun","Lentil, vegetable stew, brown rice","Fruit, nut mix"
38,Male,178,80,Sedentary,Maintenance,Vegan,2200,85,280,65,"Tofu, vegetable stir-fry, brown rice","Black bean burgers, sweet potato fries","Lentil, vegetable curry, brown rice","Fruit, nut mix"
20,Female,168,50,Lightly Active,Muscle Gain,Omnivore,2200,90,300,60,"Oatmeal, berries, nuts","Chicken breast, brown rice, steamed vegetables","Salmon, roasted vegetables",Protein bar
58,Male,175,85,Moderately Active,Maintenance,Vegetarian,2300,80,300,70,"Tofu, vegetable scramble, whole wheat toast","Lentil, vegetable curry, brown rice","Quinoa salad, roasted vegetables",Trail mix
25,Male,175,75,Moderately Active,Weight Loss,Omnivore,2200,150,250,60,"Greek yogurt, berries, granola","Quinoa salad, chicken, vegetables","Grilled salmon, roasted vegetables","Fruit, nuts"
38,Female,165,60,Lightly Active,Maintenance,Vegetarian,1800,100,200,50,"Tofu scramble, vegetables, whole-wheat toast","Lentil soup, whole-wheat bread","Vegetable stir-fry, brown rice",Trail mix
55,Male,180,90,Sedentary,Weight Loss,Omnivore,1800,120,200,40,"Oatmeal, fruit, nuts","Chicken breast salad, mixed greens","Tuna salad sandwich, whole-wheat bread","Fruit, yogurt"
62,Female,160,70,Sedentary,Maintenance,Vegan,1600,80,180,40,"Tofu, vegetable stir-fry, brown rice","Lentil soup, whole-wheat bread","Black bean burgers, whole-wheat buns","Raw vegetables, hummus"
28,Female,170,65,Very Active,Muscle Gain,Omnivore,2500,180,300,80,"Scrambled eggs, whole-wheat toast, avocado","Chicken breast, brown rice, vegetables","Steak, sweet potato, broccoli",Protein shake
32,Male,185,85,Moderately Active,Weight Loss,Vegan,2000,140,220,50,"Tofu scramble, vegetables, whole-wheat toast","Lentil soup, whole-wheat bread","Chickpea curry, brown rice","Fruit, nuts"
68,Male,170,80,Lightly Active,Weight Loss,Omnivore,1600,100,180,40,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole-wheat bread","Chicken breast, roasted vegetables, sweet potato","Fruit, yogurt"
45,Female,165,65,Very Active,Muscle Gain,Vegetarian,2300,150,280,70,"Tofu, vegetable stir-fry, brown rice","Chickpea salad, mixed greens","Lentil stew, whole-wheat bread",Trail mix
72,Female,155,55,Sedentary,Maintenance,Omnivore,1400,70,160,30,"Scrambled eggs, whole-wheat toast","Chicken breast salad, mixed greens","Tuna salad sandwich, whole-wheat bread","Fruit, yogurt"
21,Male,190,95,Moderately Active,Weight Loss,Omnivore,2400,160,280,60,"Greek yogurt, berries, granola","Quinoa salad, chicken, vegetables","Grilled chicken, roasted vegetables","Fruit, nuts"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Greek Yogurt, berries, granola","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Apple, almond butter"
30,Female,165,65,Lightly Active,Muscle Gain,Vegetarian,2000,100,200,60,"Tofu scramble, vegetables, avocado","Lentil soup, whole-wheat bread","Quinoa bowl, roasted chickpeas, vegetables","Trail mix, nuts, dried fruit"
55,Male,175,90,Sedentary,Weight Loss,Omnivore,1800,90,180,50,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole-wheat bread","Chicken stir-fry, brown rice","Celery sticks, peanut butter"
22,Female,170,55,Very Active,Muscle Gain,Vegan,2500,130,300,70,"Tofu omelet, spinach","Vegan lentil stew, brown rice","Black bean burgers, whole-wheat buns","Banana, almond butter"
60,Female,155,60,Moderately Active,Maintenance,Vegetarian,1600,70,160,40,"Scrambled eggs, whole-wheat toast","Vegetarian chili, whole-wheat bread","Lentil pasta, tomato sauce",Fruit salad
28,Male,190,100,Very Active,Weight Loss,Omnivore,2800,150,350,80,"Greek yogurt, protein powder, fruit","Chicken breast, brown rice, vegetables","Turkey chili, sweet potato",Protein bar
35,Female,160,50,Lightly Active,Muscle Gain,Vegan,1800,90,180,50,"Tofu scramble, vegetables, avocado","Vegan lentil stew, brown rice","Black bean burgers, whole-wheat buns","Trail mix, nuts, dried fruit"
48,Male,185,95,Moderately Active,Maintenance,Omnivore,2200,110,220,60,"Oatmeal, fruit, nuts","Tuna salad sandwich, whole-wheat bread","Grilled salmon, roasted vegetables","Greek yogurt, berries"
65,Male,170,75,Sedentary,Weight Loss,Omnivore,1500,70,150,40,"Scrambled eggs, whole-wheat toast","Chicken salad sandwich, whole-wheat bread","Chicken stir-fry, brown rice","Apple, peanut butter"
19,Female,168,58,Very Active,Muscle Gain,Vegan,2300,120,280,60,"Tofu omelet, spinach","Vegan lentil stew, brown rice","Black bean burgers, whole-wheat buns","Banana, almond butter"
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Greek yogurt, berries, granola","Grilled chicken salad, mixed greens, avocado","Salmon, roasted vegetables, quinoa","Trail mix, almonds, dried cranberries"
38,Female,165,68,Lightly Active,Maintenance,Vegetarian,1800,80,220,50,"Oatmeal, fruit, nuts","Lentil soup, whole-wheat bread","Vegetarian chili, brown rice","Apple, peanut butter"
55,Male,175,95,Sedentary,Weight Loss,Vegan,1900,85,200,45,"Tofu scramble, vegetables, whole-wheat toast","Vegan lentil stew, brown rice","Chickpea curry, brown rice","Banana, almond butter"
22,Female,160,55,Very Active,Muscle Gain,Omnivore,2500,150,300,75,"Scrambled eggs, whole-wheat toast, avocado","Chicken, vegetable stir-fry, brown rice","Chicken breast, sweet potato, broccoli","Protein bar, nuts"
62,Female,168,72,Sedentary,Maintenance,Vegan,1700,75,180,40,"Tofu breakfast burrito, whole-wheat tortilla","Vegan pasta salad, vegetables","Lentil, vegetable curry, brown rice","Fruit salad, nuts"
30,Male,190,100,Moderately Active,Muscle Gain,Omnivore,3000,180,350,90,"Protein pancakes, fruit, syrup","Chicken breast, brown rice, vegetables","Steak, baked potato, green beans","Protein shake, fruit"
28,Female,170,65,Lightly Active,Weight Loss,Vegetarian,1600,70,180,45,"Scrambled tofu, spinach, tomato","Vegetarian chili, brown rice","Quinoa bowl, roasted vegetables, chickpeas","Trail mix, dried fruit, nuts"
40,Male,185,90,Very Active,Weight Loss,Omnivore,2500,130,280,70,"Greek yogurt, berries, granola","Tuna salad sandwich, whole-wheat bread","Chicken breast, brown rice, vegetables","Mixed nuts, seeds"
21,Female,168,58,Lightly Active,Maintenance,Vegan,1800,75,200,50,"Tofu scramble, vegetables, whole-wheat toast","Vegan lentil stew, brown rice","Black bean burger, whole-wheat bun, avocado","Trail mix, dried fruit, nuts"
58,Male,178,88,Sedentary,Weight Loss,Omnivore,1800,80,200,50,"Oatmeal, fruit, nuts","Chicken breast, brown rice, vegetables","Salmon, roasted vegetables, quinoa","Fruit salad, yogurt"
25,Female,165,58,Moderately Active,Weight Loss,Omnivore,1800,100,200,50,"Greek yogurt, berries, granola","Lentil soup, whole wheat bread","Grilled salmon, roasted vegetables","Apple slices, peanut butter"
32,Male,180,85,Lightly Active,Muscle Gain,Omnivore,2500,150,300,70,"Scrambled eggs, whole wheat toast, avocado","Chicken breast salad, mixed greens","Steak, sweet potato fries","Protein shake, banana"
